Vardas     Pavarde    ND1     ND2     ND3     ND4     ND5     ND6     ND7     ND8     ND9     ND10    ND11    ND12    ND13    ND14    ND15    Egz.
Var1       Pav1       2       3       2       10      6       5       9       8       10      4       4       5       1       3       1       10
Var2       Pav2       7       2       10      2       5       8       1       8       9       9       5       10      7       6       5       9
Var3       Pav3       6       4       1       10      5       2       3       5       9       7       5       1       8       9       6       4
Var4       Pav4       10      5       7       3       4       10      3       4       10      7       1       5       8       9       7       6
Var5       Pav5       9       1       8       2       7       10      6       2       9       6       7       1       5       1       9       10
Var6       Pav6       3       7       1       9       6       4       10      8       2       10      10      1       5       6       4       9
Var7       Pav7       8       8       9       6       5       4       5       5       3       8       6       1       4       4       6       9
Var8       Pav8       6       7       7       1       2       3       2       8       8       5       6       8       2       5       7       4
Var9       Pav9       5       2       3       10      8       1       8       5       9       4       2       6       4       5       6       6
Var10      Pav10      10      4       6       7       3       7       2       7       8       7       7       1       6       8       7       6
Var11      Pav11      8       8       5       3       3       6       1       9       8       5       6       1       4       5       9       1
Var12      Pav12      8       6       2       9       7       9       7       5       4       4       5       8       1       6       2       8
Var13      Pav13      8       7       9       6       2       10      10      10      1       6       7       5       9       10      7       8
Var14      Pav14      9       7       4       1       10      10      10      10      6       6       5       7       5       7       8       8
Var15      Pav15      8       1       7       5       3       5       7       10      5       4       6       3       6       5       5       4
